Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Weather_Month,Fire_Month,Fires_Ontario_Total
RIDGETOWN AUTOMATIC CLIMATE STATION,15.3,28.7,3.1,,90.0,28.1,2000,May,June,44
RIDGEVILLE,14.3,27.5,4.0,0.0,103.9,15.8,2000,May,June,44
ST CATHARINES A,14.8,28.5,3.3,0.0,102.4,22.2,2000,May,June,44
ST CATHARINES POWER GLEN,14.9,29.5,1.5,0.0,108.8,27.5,2000,May,June,44
ST THOMAS WPCP,14.7,28.0,2.5,0.0,120.6,16.9,2000,May,June,44
SMITHVILLE,14.0,29.0,0.5,0.0,86.2,18.4,2000,May,June,44
SOUTHEAST SHOAL (AUT),15.0,25.0,5.6,,,13.2,2000,May,June,44
THOROLD,14.8,29.5,4.5,0.0,128.4,23.4,2000,May,June,44
TILLSONBURG NORTH,14.3,28.5,0.5,0.0,134.5,19.2,2000,May,June,44
TILLSONBURG MOE,,,,0.0,132.0,,2000,May,June,44
VINELAND,14.9,30.0,3.5,0.0,101.6,26.8,2000,May,June,44
VINELAND RITTENHOUSE,14.7,30.0,3.0,0.0,95.0,27.7,2000,May,June,44
WATERFORD,,,,0.0,92.6,,2000,May,June,44
WELLAND,14.2,28.0,2.5,0.0,89.3,12.5,2000,May,June,44
WINDSOR RIVERSIDE,17.1,31.5,4.5,0.0,111.4,47.1,2000,May,June,44
WINDSOR A,16.5,29.4,5.4,0.0,119.8,38.6,2000,May,June,44
WOODSLEE CDA AUTOMATIC CLIMATE STATION,16.6,30.3,3.5,,99.8,42.2,2000,May,June,44
HARROW AUTOMATIC CLIMATE STATION,16.4,29.0,4.7,,111.0,37.3,2000,May,June,44
PORT COLBORNE (AUT),12.2,22.1,3.9,,,0.0,2000,May,June,44
ERIEAU (AUT),12.8,23.1,5.3,,,0.9,2000,May,June,44
POINT PELEE CS,14.9,27.9,3.7,,136.8,18.9,2000,May,June,44
BRANTFORD MOE,14.3,29.0,1.0,0.0,104.2,18.9,2000,May,June,44
CAMBRIDGE-STEWART,,,,0.0,154.2,,2000,May,June,44
CULLODEN EASEY,14.0,28.0,2.0,0.0,135.4,15.5,2000,May,June,44
DORCHESTER,,,,0.0,116.0,,2000,May,June,44
EMBRO INNES,,,,0.0,110.0,,2000,May,June,44
FERGUS SHAND DAM,13.2,27.0,1.5,0.0,156.6,13.4,2000,May,June,44
FERGUS MOE,12.8,27.0,0.0,0.0,162.7,5.8,2000,May,June,44
FOLDENS,14.1,28.0,2.5,0.0,79.8,16.2,2000,May,June,44
GLEN ALLAN,13.1,27.5,1.0,0.0,152.0,12.6,2000,May,June,44
GUELPH TURFGRASS CS,12.7,27.8,-1.5,,122.8,13.3,2000,May,June,44
ILDERTON BEAR CREEK,15.1,29.5,2.5,0.0,122.0,25.0,2000,May,June,44
LONDON INT'L AIRPORT,14.2,28.3,3.0,0.0,114.5,18.8,2000,May,June,44
LONDON NW,14.6,28.0,1.5,0.0,113.6,23.2,2000,May,June,44
MOUNT FOREST,12.6,27.5,-1.0,0.0,239.0,13.4,2000,May,June,44
MOUNT FOREST (AUT),12.0,25.9,-0.1,,212.8,10.9,2000,May,June,44
ROSEVILLE,13.7,29.0,0.0,0.0,132.6,18.1,2000,May,June,44
RUSKVIEW,12.9,27.5,-1.0,0.0,176.8,14.6,2000,May,June,44
SALEM,13.2,27.5,2.0,0.0,161.9,13.5,2000,May,June,44
SCOTLAND,,,,0.0,92.3,,2000,May,June,44
STRATFORD MOE,14.3,28.0,2.0,0.0,132.2,17.8,2000,May,June,44
STRATHROY-MULLIFARRY,15.0,29.5,3.0,0.0,127.8,26.7,2000,May,June,44
WATERLOO WPCP,,,,0.0,154.3,,2000,May,June,44
WATERLOO WELLINGTON A,13.7,28.7,0.8,0.0,150.3,18.7,2000,May,June,44
WOODSTOCK,14.5,29.5,1.0,0.0,104.4,20.9,2000,May,June,44
ELORA AUTOMATIC CLIMATE STATION,13.2,28.0,-0.5,,118.0,12.3,2000,May,June,44
NILESTOWN,14.3,28.5,2.0,0.0,116.4,20.0,2000,May,June,44
NEWTON,12.9,28.0,1.0,0.0,208.4,11.8,2000,May,June,44
ALBERTON,14.1,30.0,0.0,0.0,113.6,20.2,2000,May,June,44
ALBION,,,,0.0,141.8,,2000,May,June,44
ALBION FIELD CENTRE,13.3,30.0,-2.5,0.0,153.1,23.5,2000,May,June,44
BELLEVILLE,14.1,26.0,3.5,0.0,82.0,11.1,2000,May,June,44
BLOOMFIELD,,,,0.0,85.0,,2000,May,June,44
BOWMANVILLE MOSTERT,12.7,26.5,-0.5,0.0,110.3,2.0,2000,May,June,44
BURKETON MCLAUGHLIN,12.9,29.0,1.0,0.0,146.6,12.6,2000,May,June,44
BURLINGTON PIERS (AUT),13.8,28.4,4.6,,,20.7,2000,May,June,44
CALEDON NORTH,13.2,27.5,1.5,0.0,139.7,16.6,2000,May,June,44
CAMBORNE,13.1,28.5,0.0,0.0,121.8,6.6,2000,May,June,44
CENTREVILLE,13.7,29.5,0.0,0.0,124.9,14.4,2000,May,June,44
COBOURG (AUT),11.2,21.7,2.4,,77.6,0.0,2000,May,June,44
COBOURG STP,11.8,23.0,0.5,0.0,108.2,0.0,2000,May,June,44
CRESSY,12.8,27.0,3.5,0.0,108.0,5.6,2000,May,June,44
FRENCHMANS BAY,,,,0.0,147.2,,2000,May,June,44
GEORGETOWN WWTP,12.3,29.0,-3.5,0.0,128.8,15.6,2000,May,June,44
GLEN HAFFY MONO MILLS,,,,0.0,164.0,,2000,May,June,44
HAMILTON A,13.7,28.6,2.6,0.0,98.0,18.7,2000,May,June,44
HAMILTON RBG CS,14.3,30.4,1.3,,123.2,25.7,2000,May,June,44
HORNBY TRAFALGAR TS,,,,0.0,141.0,,2000,May,June,44
JANETVILLE,13.3,28.5,-2.0,0.0,145.0,17.6,2000,May,June,44
KALADAR,13.6,30.0,0.0,0.0,117.2,10.2,2000,May,June,44
KING SMOKE TREE,13.4,28.5,2.0,0.0,157.0,20.2,2000,May,June,44
MADOC,13.6,30.0,0.5,0.0,150.3,12.7,2000,May,June,44
MILLGROVE,14.1,30.0,0.0,0.0,137.0,22.2,2000,May,June,44
ORANGEVILLE MOE,12.8,28.0,-1.0,0.0,164.9,18.0,2000,May,June,44
OSHAWA WPCP,12.5,25.5,2.0,0.0,121.4,0.0,2000,May,June,44
OAKVILLE GERARD,14.1,31.5,2.0,0.0,160.0,16.9,2000,May,June,44
POINT PETRE (AUT),10.6,18.4,1.3,,78.2,0.0,2000,May,June,44
PONTYPOOL,12.5,27.5,-2.5,0.0,152.3,10.2,2000,May,June,44
RICHMOND HILL,14.2,30.0,1.0,0.0,153.4,23.8,2000,May,June,44
SANDHILL,,,,0.0,136.6,,2000,May,June,44
STIRLING,,,,0.0,115.6,,2000,May,June,44
THORNHILL GRANDVIEW,,,,0.0,147.6,,2000,May,June,44
TORONTO,15.2,30.4,5.6,0.0,135.2,26.9,2000,May,June,44
TORONTO ISLAND A,12.9,28.2,4.2,,115.0,3.1,2000,May,June,44
TORONTO LESTER B. PEARSON INT'L A,14.3,30.2,3.3,0.0,124.4,23.7,2000,May,June,44
TRENTON A,13.1,26.6,2.0,0.0,86.6,8.1,2000,May,June,44
WARKWORTH,,,,0.0,118.0,,2000,May,June,44
WOODBRIDGE,14.5,31.5,-0.5,0.0,145.4,25.2,2000,May,June,44
WOOLER,13.3,30.0,-2.0,0.0,96.4,17.1,2000,May,June,44
MOUNTAINVIEW,13.2,26.0,2.0,0.0,79.6,5.8,2000,May,June,44
TORONTO BUTTONVILLE A,13.5,30.6,0.7,0.0,150.0,20.4,2000,May,June,44
NEWMARKET 3,,,,0.0,146.4,,2000,May,June,44
OAKVILLE SOUTHEAST WPCP,13.7,32.0,1.0,0.0,164.4,20.0,2000,May,June,44
NAPANEE,13.6,29.0,0.0,0.0,128.4,14.1,2000,May,June,44
TORONTO NORTH YORK,14.1,30.5,0.0,0.0,151.7,25.3,2000,May,June,44
BOLTON NORTH,13.4,29.5,-1.0,0.0,138.6,19.8,2000,May,June,44
HALIBURTON 3,12.2,28.0,-3.5,0.0,93.2,3.9,2000,May,June,44
LINDSAY FROST,12.3,28.5,-2.5,0.0,137.4,9.7,2000,May,June,44
MINDEN,12.6,30.0,-3.5,0.0,147.4,4.8,2000,May,June,44
NORWOOD,12.7,29.5,-3.0,0.0,178.6,11.6,2000,May,June,44
PETERBOROUGH A,12.7,29.7,-2.1,0.0,120.0,12.6,2000,May,June,44
PETERBOROUGH TORRANCE,13.3,29.5,-1.5,0.0,120.2,14.0,2000,May,June,44
PETERBOROUGH TRENT U,13.6,29.5,-2.5,0.0,130.2,14.9,2000,May,June,44
WOODVILLE,13.0,29.0,-1.5,0.0,148.6,13.4,2000,May,June,44
BANCROFT AUTO,11.2,28.6,-5.5,,158.0,2.0,2000,May,June,44
WARSAW,,,,0.0,161.8,,2000,May,June,44
BIG TROUT LAKE READAC,8.8,27.5,-7.3,,135.0,0.0,2001,May,June,267
EAR FALLS (AUT),11.5,23.6,-2.1,,127.0,0.0,2001,May,June,267
LANSDOWNE HOUSE (AUT),11.0,28.0,-8.4,,91.1,1.0,2001,May,June,267
PEAWANUCK (AUT),8.4,27.4,-7.7,,0.0,3.1,2001,May,June,267
PICKLE LAKE A,12.3,27.1,-1.5,8.0,114.0,0.6,2001,May,June,267
RED LAKE A,10.9,25.2,-4.1,0.0,102.7,0.2,2001,May,June,267
ATIKOKAN MARMION,12.0,25.0,0.5,0.0,103.8,0.0,2001,May,June,267
BARWICK,12.1,24.5,-1.0,6.0,140.8,0.0,2001,May,June,267
ATIKOKAN (AUT),12.0,25.7,-0.8,,72.6,0.6,2001,May,June,267
FORT FRANCES A,11.9,25.0,-1.5,3.0,120.6,0.0,2001,May,June,267
MINE CENTRE,11.8,26.0,-2.5,0.0,143.4,0.0,2001,May,June,267
STRATTON ROMYN,,,,4.0,122.2,,2001,May,June,267
EMO RADBOURNE,11.8,24.5,-1.5,6.0,161.2,0.0,2001,May,June,267
DRYDEN A,11.9,24.7,0.5,0.0,136.2,0.0,2001,May,June,267
DRYDEN 'A' (AUT),11.9,24.6,0.2,,119.0,0.4,2001,May,June,267
KENORA A,12.1,23.7,-0.3,5.2,124.0,0.0,2001,May,June,267
RAWSON LAKE,11.8,24.0,0.0,0.0,136.7,0.0,2001,May,June,267
SIOUX LOOKOUT A,11.5,24.9,-2.0,0.0,139.2,0.0,2001,May,June,267
ARMSTRONG (AUT),9.7,25.6,-5.5,,91.0,0.0,2001,May,June,267
CAMERON FALLS (AUT),10.1,24.7,-3.8,,124.0,0.0,2001,May,June,267
CARIBOU ISLAND (AUT),6.3,14.7,2.2,,95.2,0.0,2001,May,June,267
GERALDTON A,11.3,26.1,-3.8,0.2,44.4,0.9,2001,May,June,267
FLINT,10.5,26.5,-6.0,0.0,59.3,0.0,2001,May,June,267
HEMLO BATTLE MOUNTAIN,11.9,26.5,-2.0,0.0,55.1,2.5,2001,May,June,267
LAKEHEAD UNIVERSITY,10.2,25.5,-2.0,0.0,71.6,0.0,2001,May,June,267
PUKASKWA (AUT),11.0,25.6,0.5,,30.2,0.2,2001,May,June,267
PUKASKWA NATL PARK,11.2,25.6,0.5,,30.4,1.0,2001,May,June,267
TERRACE BAY A,8.5,24.5,-5.1,0.0,111.6,0.0,2001,May,June,267
THUNDER BAY A,10.3,27.4,-3.5,,70.0,0.0,2001,May,June,267
THUNDER BAY AWOS,10.3,27.4,-3.5,,70.0,0.0,2001,May,June,267
TRANQUILLO RIDGE,11.0,26.6,-3.5,0.0,70.1,0.0,2001,May,June,267
UPSALA (AUT),9.8,24.5,-3.4,,77.6,0.0,2001,May,June,267
WELCOME ISLAND (AUT),7.8,20.1,0.0,,,0.0,2001,May,June,267
WHITEFISH LAKE,10.4,26.0,-4.5,0.0,70.4,0.0,2001,May,June,267
KATATOTA ISLAND (AUT),8.2,15.4,-2.1,,9.4,0.0,2001,May,June,267
ELLIOT LAKE A,12.7,24.0,2.0,0.0,119.2,0.6,2001,May,June,267
SAULT STE MARIE 2,12.9,26.0,0.5,0.0,123.2,0.0,2001,May,June,267
SAULT STE MARIE A,11.7,25.5,-1.4,,120.5,0.0,2001,May,June,267
WAWA A,10.2,25.6,-3.9,0.0,66.4,1.5,2001,May,June,267
KILLARNEY (AUT),11.1,18.4,5.5,,,0.0,2001,May,June,267
CHAPLEAU A,11.7,26.1,-2.5,0.0,55.0,0.0,2001,May,June,267
CONISTON STP,13.1,25.5,-1.0,0.0,107.2,1.3,2001,May,June,267
MASSEY,12.6,24.5,-1.0,0.0,137.1,0.0,2001,May,June,267
MONETVILLE,13.1,25.5,-2.0,0.0,141.7,0.5,2001,May,June,267
SUDBURY A,12.8,25.3,0.0,0.0,145.1,1.3,2001,May,June,267
BONNER LAKE,12.2,27.0,-4.0,0.2,44.8,1.5,2001,May,June,267
EARLTON AWOS,12.2,25.8,-2.4,,123.5,1.3,2001,May,June,267
EARLTON A,12.6,26.5,-2.2,0.0,131.1,1.9,2001,May,June,267
KAPUSKASING CDA,12.4,27.0,-5.9,0.2,36.5,1.5,2001,May,June,267
KAPUSKASING A,12.0,27.3,-4.2,3.4,36.0,1.3,2001,May,June,267
KAPUSKASING CDA ON,11.8,26.5,-5.0,,33.0,1.6,2001,May,June,267
KIRKLAND LAKE CS,12.4,24.9,-1.2,,107.8,1.6,2001,May,June,267
MOOSONEE UA,11.9,31.0,-7.5,0.8,30.4,9.3,2001,May,June,267
MOOSONEE A,11.6,28.2,-7.1,,13.5,6.0,2001,May,June,267
NAGAGAMI (AUT),11.9,27.2,-6.2,,,1.2,2001,May,June,267
PORCUPINE ONT HYDRO,12.7,27.0,-3.0,0.0,83.8,1.0,2001,May,June,267
TIMMINS VICTOR POWER A,12.1,26.6,-2.7,0.0,74.6,0.1,2001,May,June,267
DWIGHT,12.5,28.5,-2.5,0.0,97.8,1.0,2001,May,June,267
FRENCH R CHAUDIERE DAM,13.8,27.0,0.0,0.0,127.8,1.5,2001,May,June,267
NORTH BAY A,13.1,25.4,-0.3,0.0,130.6,3.7,2001,May,June,267
STURGEON FALLS,,,,0.0,131.4,,2001,May,June,267
GORE BAY A,12.5,23.6,1.7,,100.0,0.0,2001,May,June,267
GREAT DUCK ISLAND (AUT),8.8,17.5,3.6,,54.0,0.0,2001,May,June,267
SANDFIELD,12.0,23.5,-0.5,0.0,146.0,0.0,2001,May,June,267
APPLETON,14.1,30.5,-1.0,0.0,44.4,8.3,2001,May,June,267
AVONMORE,14.3,31.0,-1.5,0.0,79.2,11.1,2001,May,June,267
BROCKVILLE PCC,15.0,27.5,2.0,0.0,65.4,4.8,2001,May,June,267
CHALK RIVER AECL,14.2,30.5,-2.0,0.0,52.8,7.3,2001,May,June,267
COMBERMERE,12.8,30.0,-1.0,0.0,67.5,2.3,2001,May,June,267
CORNWALL,15.8,30.0,3.0,0.0,74.6,21.7,2001,May,June,267
DALHOUSIE MILLS,14.0,30.5,-2.0,0.0,81.2,5.9,2001,May,June,267
GODFREY,14.2,30.5,-0.5,0.0,47.2,5.1,2001,May,June,267
DRUMMOND CENTRE,14.2,31.0,-1.0,0.0,44.4,7.6,2001,May,June,267
GRENADIER ISLAND,14.7,26.9,2.3,,55.6,1.5,2001,May,June,267
HARTINGTON IHD,14.1,30.5,0.0,0.0,41.2,6.8,2001,May,June,267
KEMPTVILLE CS,14.6,30.5,-0.1,,41.8,10.9,2001,May,June,267
KINGSTON PUMPING STATION,14.5,25.0,1.0,0.0,40.7,0.8,2001,May,June,267
LYNDHURST SHAWMERE,14.6,28.5,2.0,0.0,67.1,2.6,2001,May,June,267
MORRISBURG,14.6,29.5,-0.5,0.0,75.4,10.4,2001,May,June,267
OAK VALLEY,14.2,31.0,-1.0,0.0,61.6,8.0,2001,May,June,267
OMPAH,12.9,30.0,-3.0,0.0,74.0,6.6,2001,May,June,267
OMPAH-SEITZ,13.7,29.5,0.0,0.0,64.8,9.0,2001,May,June,267
OTTAWA CDA,14.8,30.6,1.7,0.0,95.6,8.5,2001,May,June,267
OTTAWA CDA RCS,14.5,30.5,1.5,,44.0,7.6,2001,May,June,267
OTTAWA MACDONALD-CARTIER INT'L A,14.9,30.9,2.3,0.0,81.1,13.7,2001,May,June,267
PEMBROKE SE,14.0,31.5,-2.0,0.0,58.5,10.3,2001,May,June,267
PETAWAWA A,12.5,31.0,-4.1,,65.0,4.4,2001,May,June,267
ROLPHTON,13.1,31.0,-3.0,0.0,71.5,6.0,2001,May,June,267
RUSSELL,14.7,31.0,-0.5,0.0,62.4,11.1,2001,May,June,267
ST. ALBERT,14.1,30.0,-2.5,0.0,97.4,9.6,2001,May,June,267
SANDHURST,13.9,28.5,1.0,0.0,43.2,2.5,2001,May,June,267
WINCHESTER CS,14.5,30.4,-1.3,,,8.0,2001,May,June,267
PETAWAWA HOFFMAN,13.7,31.5,-1.5,0.0,66.0,7.6,2001,May,June,267
ALLISTON NELSON,14.4,30.5,0.0,0.0,83.8,10.7,2001,May,June,267
BARRIE (AUT),13.0,29.7,0.0,,31.4,7.7,2001,May,June,267
BARRIE WPCC,14.5,30.0,1.0,0.0,100.1,8.9,2001,May,June,267
BEATRICE 2,12.5,28.5,-4.0,0.0,92.8,0.8,2001,May,June,267
BEAUSOLEIL,14.3,30.6,1.5,,52.2,8.5,2001,May,June,267
CHATSWORTH,13.5,29.5,-3.0,0.0,105.4,9.1,2001,May,June,267
COLDWATER WARMINSTER,13.9,28.0,0.5,0.0,118.2,2.5,2001,May,June,267
COLLINGWOOD,14.2,30.5,1.5,,78.4,12.2,2001,May,June,267
COOKSTOWN,13.3,28.5,-2.0,0.0,76.6,5.1,2001,May,June,267
DORSET MOE,12.7,29.0,-2.5,0.0,92.6,1.3,2001,May,June,267
DUNCHURCH,13.1,27.0,-3.0,0.0,133.8,2.3,2001,May,June,267
DURHAM,13.7,28.5,-0.5,0.0,101.8,7.0,2001,May,June,267
HANOVER,13.7,29.0,-2.5,0.0,97.8,7.3,2001,May,June,267
HONEY HBR BEAUSOLEIL,14.3,30.6,1.5,,76.8,8.5,2001,May,June,267
HUNTSVILLE WPCP,13.2,28.5,-2.0,0.0,104.2,2.6,2001,May,June,267
LAGOON CITY,13.5,24.2,3.0,,90.2,0.6,2001,May,June,267
MIDLAND WATER POLLUTION CONTROL PLANT,14.1,29.5,1.0,0.0,90.5,8.6,2001,May,June,267
MIDLAND HURONIA A,13.6,29.0,-1.0,0.0,93.5,5.5,2001,May,June,267
MUSKOKA A,12.9,28.0,-2.4,0.0,103.6,2.2,2001,May,June,267
ORILLIA BRAIN,14.0,30.5,0.5,0.0,120.0,8.3,2001,May,June,267
OWEN SOUND MOE,13.5,28.0,1.0,0.0,99.5,10.0,2001,May,June,267
PARRY SOUND HARBOUR,13.8,26.5,0.0,0.0,97.2,1.5,2001,May,June,267
PORT LAW,12.2,27.0,-4.0,0.0,77.0,2.8,2001,May,June,267
POWASSAN,12.6,29.0,-2.0,0.0,90.2,4.8,2001,May,June,267
PRICEVILLE,,,,0.0,93.7,,2001,May,June,267
PROTON STATION,12.0,26.0,-4.5,0.0,84.6,4.5,2001,May,June,267
ROCKLYN,13.1,27.5,-2.5,0.0,100.6,7.6,2001,May,June,267
SHANTY BAY,13.9,29.5,-0.5,0.0,100.4,8.8,2001,May,June,267
TROUT CREEK,,,,0.0,105.6,,2001,May,June,267
UDORA,13.9,28.5,-1.0,0.0,68.0,7.6,2001,May,June,267
WALTERS FALLS,13.9,29.0,-1.5,0.0,94.2,12.8,2001,May,June,267
WIARTON A,12.7,26.9,-0.6,0.0,113.8,5.0,2001,May,June,267
WILDER LAKE,13.5,28.0,-2.0,0.0,92.7,7.8,2001,May,June,267
WESTERN ISLAND (AUT),11.0,21.8,3.8,,,0.0,2001,May,June,267
EGBERT CS,14.6,30.3,0.7,,61.8,14.3,2001,May,June,267
GLOUCESTER POOL,14.8,30.5,1.5,0.0,85.4,10.3,2001,May,June,267
THORNBURY SLAMA,13.5,30.0,-1.0,0.0,76.2,13.1,2001,May,June,267
EGBERT CARE,13.8,29.0,-0.5,0.0,64.4,9.6,2001,May,June,267
GRAVENHURST BEAVER CREEK,13.6,29.0,-3.0,0.0,70.8,3.5,2001,May,June,267
BLYTH,13.5,29.0,0.0,0.0,89.5,7.1,2001,May,June,267
CYPRUS LAKE CS,12.5,25.4,-1.6,,158.6,0.9,2001,May,June,267
COVE ISLAND (AUT),9.8,18.1,4.6,,0.0,0.0,2001,May,June,267
EXETER,14.5,28.0,-0.5,0.0,62.6,7.3,2001,May,June,267
GODERICH,13.8,26.5,-0.3,,72.6,7.7,2001,May,June,267
NAIRN,15.0,29.5,-1.5,0.0,56.3,8.9,2001,May,June,267
KINCARDINE,13.1,28.0,-2.0,0.0,90.2,6.8,2001,May,June,267
PETROLIA TOWN,15.1,30.0,-0.5,0.0,82.8,10.3,2001,May,June,267
PORT ELGIN,13.5,28.0,0.0,0.0,102.0,7.9,2001,May,June,267
SARNIA AIRPORT,13.7,29.2,-0.8,0.0,58.4,5.3,2001,May,June,267
TARA,13.4,28.5,-1.5,0.0,105.0,5.3,2001,May,June,267
WROXETER,,,,0.0,111.8,,2001,May,June,267
THEDFORD,14.6,29.0,-1.0,0.0,85.6,12.1,2001,May,June,267
AMHERSTBURG,16.2,30.0,1.0,0.0,69.8,23.1,2001,May,June,267
AYLMER,14.9,28.0,1.5,0.0,84.0,7.4,2001,May,June,267
BELLE RIVER,16.0,29.6,8.0,,,19.9,2001,May,June,267
CHATHAM WPCP,15.9,29.0,2.0,0.0,80.7,15.5,2001,May,June,267
DELHI CS,14.5,29.3,0.7,,96.4,8.7,2001,May,June,267
FORT ERIE,14.0,28.0,2.0,0.0,128.4,0.3,2001,May,June,267
HAGERSVILLE,14.0,29.0,-0.5,0.0,116.0,7.8,2001,May,June,267
HARROW CDA AUTO,16.3,29.4,1.8,,76.2,24.7,2001,May,June,267
KINGSVILLE MOE,16.2,30.0,4.0,0.0,74.2,26.2,2001,May,June,267
LONG POINT (AUT),13.5,21.1,7.1,,,0.0,2001,May,June,267
NEW GLASGOW,14.5,28.0,1.0,0.0,125.0,7.3,2001,May,June,267
NIAGARA FALLS NPCSH,14.9,29.0,2.5,0.0,103.2,11.4,2001,May,June,267
PORT COLBORNE,14.4,26.5,4.0,0.0,109.0,0.0,2001,May,June,267
PORT WELLER (AUT),13.9,27.1,6.9,,108.0,2.2,2001,May,June,267
RIDGETOWN AUTOMATIC CLIMATE STATION,,,,,95.4,,2001,May,June,267
RIDGEVILLE,14.9,28.0,4.0,0.0,94.5,9.3,2001,May,June,267
ST CATHARINES POWER GLEN,15.0,29.5,0.0,0.0,100.7,14.2,2001,May,June,267
ST THOMAS WPCP,14.4,28.0,-0.5,0.0,90.4,2.8,2001,May,June,267
SMITHVILLE,14.2,29.0,0.5,0.0,133.2,6.1,2001,May,June,267
THOROLD,15.5,29.0,3.0,0.0,87.0,15.1,2001,May,June,267
TILLSONBURG NORTH,14.5,29.0,0.0,0.0,96.9,5.9,2001,May,June,267
TILLSONBURG MOE,,,,0.0,94.6,,2001,May,June,267
VINELAND,15.3,30.0,4.0,0.0,101.0,18.3,2001,May,June,267
VINELAND RITTENHOUSE,15.1,30.0,3.0,0.0,96.2,19.6,2001,May,June,267
WATERFORD,,,,0.0,97.8,,2001,May,June,267
WELLAND,14.2,27.0,2.0,0.0,98.5,0.8,2001,May,June,267
WINDSOR RIVERSIDE,16.8,31.5,1.5,0.0,95.7,31.3,2001,May,June,267
WINDSOR A,16.0,29.2,3.6,0.0,75.6,20.4,2001,May,June,267
WOODSLEE CDA AUTOMATIC CLIMATE STATION,16.5,30.0,2.0,,86.8,26.5,2001,May,June,267
PORT COLBORNE (AUT),13.1,22.5,5.7,,,0.0,2001,May,June,267
ERIEAU (AUT),13.2,23.1,5.1,,,0.0,2001,May,June,267
BRANTFORD MOE,14.4,29.5,1.0,0.0,97.8,6.6,2001,May,June,267
CULLODEN EASEY,14.5,28.0,1.0,0.0,120.7,6.5,2001,May,June,267
DORCHESTER,,,,0.0,93.4,,2001,May,June,267
EMBRO INNES,,,,0.0,103.0,,2001,May,June,267
FERGUS SHAND DAM,13.6,27.5,1.0,0.0,88.8,4.5,2001,May,June,267
FERGUS MOE,13.3,28.0,-1.0,0.0,92.8,1.8,2001,May,June,267
FOLDENS,14.2,27.5,0.5,0.0,89.6,7.7,2001,May,June,267
GLEN ALLAN,13.4,27.0,0.0,0.0,120.2,4.3,2001,May,June,267
GUELPH TURFGRASS CS,13.1,28.1,-3.6,,49.2,2.1,2001,May,June,267
ILDERTON BEAR CREEK,15.1,29.5,-0.5,0.0,74.8,10.8,2001,May,June,267
LONDON INT'L AIRPORT,14.1,28.5,-0.1,0.0,99.0,4.1,2001,May,June,267
MOUNT FOREST,13.2,28.0,-2.0,0.0,106.0,5.3,2001,May,June,267
MOUNT FOREST (AUT),12.6,26.5,-0.7,,86.0,4.5,2001,May,June,267
ROSEVILLE,13.5,28.0,-0.5,0.0,116.4,2.5,2001,May,June,267
RUSKVIEW,13.5,28.0,0.0,0.0,85.6,8.8,2001,May,June,267
SALEM,13.2,27.0,1.0,0.0,97.5,4.6,2001,May,June,267
SCOTLAND,,,,0.0,104.4,,2001,May,June,267
STRATFORD MOE,14.5,29.0,-1.0,0.0,95.7,6.8,2001,May,June,267
STRATHROY-MULLIFARRY,14.9,29.5,0.5,0.0,65.2,6.4,2001,May,June,267
WATERLOO WELLINGTON A,13.7,28.9,-0.1,0.0,88.2,7.7,2001,May,June,267
WOODSTOCK,14.6,29.0,-1.0,0.0,77.9,8.1,2001,May,June,267
ELORA AUTOMATIC CLIMATE STATION,13.3,28.1,-1.1,,92.4,4.0,2001,May,June,267
NILESTOWN,14.1,28.5,-1.5,0.0,99.1,3.3,2001,May,June,267
ALBERTON,13.2,29.0,-0.5,0.0,117.8,3.6,2001,May,June,267
BELLEVILLE,15.0,26.5,3.5,0.0,44.6,5.0,2001,May,June,267
BLOOMFIELD,,,,0.0,45.4,,2001,May,June,267
BOWMANVILLE MOSTERT,13.6,28.0,0.0,0.0,111.7,1.5,2001,May,June,267
BURKETON MCLAUGHLIN,13.7,28.0,0.5,0.0,122.8,4.9,2001,May,June,267
BURLINGTON PIERS (AUT),13.6,28.9,6.9,,,9.7,2001,May,June,267
CALEDON NORTH,14.6,28.5,0.0,0.0,96.0,7.6,2001,May,June,267
CAMBORNE,13.5,28.5,0.0,0.0,103.4,2.6,2001,May,June,267
CENTREVILLE,14.4,29.5,1.0,0.0,46.8,4.1,2001,May,June,267
COBOURG (AUT),12.3,24.6,3.1,,114.4,0.0,2001,May,June,267
COBOURG STP,12.9,25.0,1.0,0.0,119.2,0.0,2001,May,June,267
CRESSY,13.5,28.5,4.0,0.0,38.8,1.5,2001,May,June,267
FRENCHMANS BAY,,,,0.0,87.2,,2001,May,June,267
GEORGETOWN WWTP,13.2,30.5,-2.0,0.0,86.0,7.4,2001,May,June,267
GLEN HAFFY MONO MILLS,,,,0.0,104.5,,2001,May,June,267
HAMILTON A,13.7,29.1,1.2,0.0,105.0,8.3,2001,May,June,267
HAMILTON RBG CS,14.1,30.3,1.3,,93.2,15.9,2001,May,June,267
HORNBY TRAFALGAR TS,,,,0.0,84.9,,2001,May,June,267
JANETVILLE,13.6,29.0,-2.5,0.0,106.4,5.8,2001,May,June,267
KALADAR,14.0,30.0,-0.5,0.0,60.0,4.8,2001,May,June,267
KING SMOKE TREE,13.6,28.0,0.5,0.0,72.0,5.8,2001,May,June,267
MADOC,14.4,29.5,-1.0,0.0,52.0,8.4,2001,May,June,267
MILLGROVE,13.9,30.0,-1.0,0.0,98.4,10.1,2001,May,June,267
