Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month
PELLY RANCH FORT SELKIRK,8.0,19.4,-4.2,,11.3,0.0,2025,May
ROCK RIVER,-0.8,13.9,-12.6,,0.0,0.0,2025,May
DAWSON,7.8,18.9,-5.6,,26.0,0.0,2025,May
TESLIN (AUT),6.0,16.6,-4.5,,16.3,0.0,2025,May
TESLIN A,6.1,16.9,-4.3,,,0.0,2025,May
WATSON LAKE A,7.7,20.9,-3.8,,,0.0,2025,May
WATSON LAKE A,7.8,20.9,-3.8,,,0.0,2025,May
WATSON LAKE (AUT),7.8,16.6,-4.0,,38.2,0.0,2025,May
WHITEHORSE A,7.0,16.2,-3.6,,,0.0,2025,May
WHITEHORSE AUTO,6.8,15.6,-3.7,,11.6,0.0,2025,May
AKLAVIK A,-2.3,13.3,-18.7,,,0.0,2025,May
COLVILLE LAKE,-0.3,14.8,-17.3,,,0.0,2025,May
COLVILLE LAKE A,0.1,20.3,-18.3,,9.5,0.0,2025,May
DELINE CS,2.2,23.5,-21.6,,35.0,0.0,2025,May
DELINE A,2.0,23.1,-20.5,,,0.0,2025,May
DEADMEN VALLEY,9.1,22.5,-5.5,,44.2,0.0,2025,May
FORT GOOD HOPE A,3.6,22.5,-15.8,,,0.0,2025,May
FORT GOOD HOPE CS,3.4,21.2,-15.5,,23.4,0.0,2025,May
FORT LIARD,11.3,24.7,-4.7,,14.3,1.2,2025,May
FORT LIARD A,11.6,30.0,-4.3,,,1.4,2025,May
FORT MCPHERSON A,0.0,14.8,-13.5,,,0.0,2025,May
TULITA A,5.8,24.2,-10.2,,,0.0,2025,May
FORT PROVIDENCE,10.5,32.6,-8.0,,,5.8,2025,May
FORT RELIANCE (AUT),4.6,25.3,-20.2,,3.6,0.0,2025,May
FORT RESOLUTION A,9.3,30.7,-9.2,,,1.3,2025,May
FORT SIMPSON CLIMATE,10.5,28.4,-3.3,,37.2,5.1,2025,May
FORT SIMPSON A,11.7,27.0,-3.4,1.0,21.6,3.5,2025,May
FORT SIMPSON A,10.4,28.4,-3.4,,,4.6,2025,May
FORT SMITH A,11.8,33.0,-7.0,0.0,2.5,14.0,2025,May
FORT SMITH CLIMATE,12.2,33.4,-7.5,,1.6,15.9,2025,May
FORT SMITH A,12.2,33.0,-6.4,,,14.0,2025,May
HANBURY RIVER,-3.0,23.2,-20.7,,11.9,0.0,2025,May
HAY RIVER A,10.4,34.3,-11.7,0.0,24.2,10.5,2025,May
HAY RIVER CLIMATE,10.3,34.3,-11.0,,20.4,10.5,2025,May
HAY RIVER A,10.3,34.3,-11.7,,,10.5,2025,May
INNER WHALEBACKS,2.5,15.1,-12.7,,5.0,0.0,2025,May
INUVIK A,-1.4,15.8,-16.9,,,0.0,2025,May
INUVIK CLIMATE,-2.8,14.5,-17.2,,5.5,0.0,2025,May
WHATI,6.6,30.1,-11.7,,12.7,4.8,2025,May
LUTSELK'E A,6.4,32.6,-16.8,,,2.8,2025,May
NORMAN WELLS A,5.2,22.9,-9.7,14.4,20.2,0.0,2025,May
NORMAN WELLS CLIMATE,5.4,23.4,-9.2,,27.0,0.0,2025,May
PAULATUK A,-5.1,14.6,-25.4,,,0.0,2025,May
PAULATUK,-4.1,14.3,-24.4,,1.7,0.0,2025,May
PELLY ISLAND,-6.1,2.2,-18.4,,,0.0,2025,May
RABBIT KETTLE,7.5,19.0,-5.4,,42.0,0.0,2025,May
GAMETI,4.3,21.8,-12.2,,12.3,0.0,2025,May
GAMETI A,4.0,25.0,-12.9,,,0.6,2025,May
TUKTOYAKTUK A,-5.1,7.7,-18.7,,,0.0,2025,May
TUKTOYAKTUK,-5.3,7.7,-18.4,,0.7,0.0,2025,May
TUKTUT NOGAIT,-5.8,10.0,-24.9,,,0.0,2025,May
WEKWEETI A,2.3,27.4,-16.5,,22.6,0.8,2025,May
WRIGLEY A,7.9,26.1,-4.1,,,0.0,2025,May
YELLOWKNIFE A,7.2,27.9,-11.2,3.0,8.7,3.6,2025,May
YELLOWKNIFE AIRPORT,7.3,28.7,-11.2,,9.8,4.2,2025,May
YOHIN,10.5,25.6,-3.3,,31.2,0.9,2025,May
LITTLE CHICAGO,3.6,23.2,-12.2,,,0.0,2025,May
SAMBAA K'E,10.5,26.1,-6.4,,15.7,0.4,2025,May
TRAIL VALLEY,-4.2,10.6,-23.2,,4.7,0.0,2025,May
ARVIAT A,-3.6,21.3,-22.3,,5.1,0.0,2025,May
BAKER LAKE CLIMATE,-4.6,12.6,-19.7,,13.3,0.0,2025,May
BAKER LAKE A,-4.7,8.2,-19.0,1.6,1.8,0.0,2025,May
BAKER LAKE A,-4.5,12.4,-19.0,,,0.0,2025,May
BATHURST INLET,-2.4,18.0,-15.7,,6.3,0.0,2025,May
CHESTERFIELD INLET AIRPORT,-5.2,15.1,-20.8,,1.2,0.0,2025,May
CHESTERFIELD INLET A,-4.8,13.5,-21.0,,,0.0,2025,May
KUGLUKTUK A,-4.6,18.3,-20.3,0.2,0.2,0.0,2025,May
KUGLUKTUK CLIMATE,-3.7,12.6,-20.6,,0.6,0.0,2025,May
KUGLUKTUK A,-4.1,18.3,-20.6,,,0.0,2025,May
CORAL HARBOUR A,-7.1,8.8,-25.1,22.3,30.8,0.0,2025,May
CORAL HARBOUR A,-6.7,8.8,-25.1,,,0.0,2025,May
CORAL HARBOUR RCS,-5.3,6.1,-24.7,,17.7,0.0,2025,May
ENNADAI LAKE (AUT),1.2,24.4,-23.2,,10.1,0.0,2025,May
ARVIAT CLIMATE,-3.5,20.8,-22.3,,6.4,0.0,2025,May
GJOA HAVEN A,-7.4,8.5,-21.7,,29.5,0.0,2025,May
GJOA HAVEN CLIMATE,-7.3,4.7,-18.6,,2.1,0.0,2025,May
KUGAARUK CLIMATE,-6.1,13.1,-25.5,,6.9,0.0,2025,May
KUGAARUK A,-6.4,13.4,-26.0,,,0.0,2025,May
RANKIN INLET A,-4.7,12.7,-20.4,14.4,20.2,0.0,2025,May
ROBERTSON LAKE (AUT),-4.0,17.8,-21.2,,51.1,0.0,2025,May
SANIKILUAQ A,-1.7,11.6,-15.7,,,0.0,2025,May
SANIKILUAQ,-1.6,11.8,-15.7,,12.4,0.0,2025,May
WHALE COVE A,-8.5,1.2,-21.8,,,0.0,2025,May
LUPIN CS,-5.2,17.5,-19.9,,18.1,0.0,2025,May
ALERT CLIMATE,-8.7,-0.6,-21.5,,30.5,0.0,2025,May
ALERT UA,,,,41.0,24.6,,2025,May
ARCTIC BAY,-7.4,7.4,-22.2,,,0.0,2025,May
ARCTIC BAY CS,-8.3,5.5,-24.3,,11.5,0.0,2025,May
QIKIQTARJUAQ CLIMATE,-8.3,3.9,-23.3,,20.3,0.0,2025,May
QIKIQTARJUAQ A,-8.4,3.3,-23.3,,17.9,0.0,2025,May
CAMBRIDGE BAY A,-5.0,8.7,-20.0,0.6,1.8,0.0,2025,May
CAMBRIDGE BAY GSN,-4.6,8.8,-20.5,,2.3,0.0,2025,May
CAMBRIDGE BAY A,-6.1,8.7,-20.3,,,0.0,2025,May
KINNGAIT,-4.2,7.1,-12.8,,13.2,0.0,2025,May
KINNGAIT AIRPORT,-3.5,6.4,-11.6,,0.0,0.0,2025,May
CAPE LIVERPOOL,-8.0,9.3,-22.2,,41.7,0.0,2025,May
CLYDE RIVER CLIMATE,-9.3,3.6,-24.8,,7.2,0.0,2025,May
CLYDE RIVER A,-8.9,6.5,-24.2,,3.2,0.0,2025,May
EUREKA CLIMATE,-8.1,2.4,-19.1,,16.3,0.0,2025,May
EUREKA A,-8.1,2.3,-16.9,,,0.0,2025,May
FORT ROSS,-7.2,5.6,-21.8,,1.5,0.0,2025,May
GRISE FIORD CLIMATE,-8.7,3.7,-18.7,,1.4,0.0,2025,May
SANIRAJAK,-8.8,3.5,-22.0,,4.7,0.0,2025,May
SANIRAJAK AIRPORT,-9.4,2.8,-22.8,,,0.0,2025,May
GRISE FIORD A,-8.1,4.7,-18.0,,,0.0,2025,May
IGLOOLIK A,-8.4,5.0,-20.5,,,0.0,2025,May
IQALUIT CLIMATE,-3.2,3.2,-9.6,,19.5,0.0,2025,May
IQALUIT A,-4.0,6.8,-13.2,,,0.0,2025,May
